QueryID,Iteration,DocID,Relevance
Q17,1,R00326.txt,1
Q17,1,T00615.txt,1
Q17,1,D00564.txt,1
Q17,1,C00048.txt,1
Q17,1,S00021.txt,1
Q18,1,L00474.txt,1
Q18,1,D00117.txt,1
Q18,1,L00015.txt,1
Q18,1,S00428.txt,1
Q18,1,C00009.txt,1
Q18,1,R00326.txt,1
Q18,1,T00615.txt,1
Q18,1,D00564.txt,1
Q18,1,C00048.txt,1
Q18,1,S00021.txt,1
Q19,1,L00474.txt,1
Q19,1,D00117.txt,1
Q19,1,L00015.txt,1
Q19,1,S00428.txt,1
Q19,1,C00009.txt,1
Q19,1,R00326.txt,1
Q19,1,T00615.txt,1
Q19,1,D00564.txt,1
Q19,1,C00048.txt,1
Q19,1,S00021.txt,1
Q20,1,L00474.txt,1
Q20,1,D00117.txt,1
Q20,1,L00015.txt,1
Q20,1,S00428.txt,1
Q20,1,C00009.txt,1
Q20,1,R00326.txt,1
Q20,1,T00615.txt,1
Q20,1,D00564.txt,1
Q20,1,C00048.txt,1
Q20,1,S00021.txt,1
